"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","969","test_login_unregistered_user","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","808","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","846","test_registration_negative_fields[name--Name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","813","test_registration_negative_fields[email--Email is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","863","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","513","test_search_empty_city_validation","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","5964","test_search_form_dynamic","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","1410","test_hybrid_car_search","tests","2026-09-10","passed","2026-09-10","","test_hybrid_search","",""
"","17915","test_add_car_success","tests","2026-09-10","skipped","2026-09-10","","test_add_car","",""
"","710","test_calendar_month_navigation","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","658","test_calendar_past_navigation_blocked","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","334","test_search_dates_readonly_protection","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","582","test_login_invalid_email_format","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","528","test_api_car_booking_flow","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","843","test_registration_negative_fields[password--Password is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1008","test_login_success","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","272","test_api_add_car_beersheba_bug","tests","2026-09-10","skipped","2026-09-10","","test_api_car","",""
"","579","test_clear_my_garage","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","761","test_api_car_lifecycle","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","63","test_api_add_car_unauthorized","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","891","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","932","test_login_wrong_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","1164","test_registration_success","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","5907","test_calendar_ui_and_close","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","937","test_registration_without_check_box","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","309","test_api_add_car_success","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","438","test_navigation_to_registration","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","681","test_login_empty_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
