"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1329","test_login_wrong_password","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","627","test_api_add_car_unauthorized","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","991","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","954","test_registration_negative_fields[name--Name is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","1520","test_registration_success","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","624","test_api_add_car_beersheba_bug","tests","2026-09-12","skipped","2026-09-12","","test_api_car","",""
"","962","test_registration_without_check_box","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","534","test_navigation_to_registration","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","2813","test_api_car_lifecycle","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","1318","test_login_unregistered_user","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","0","Успешная авторизация (Playwright версия)","tests","2026-09-12","broken","2026-09-12","","test_playwright_login","",""
"","857","test_login_empty_password","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","734","test_login_invalid_email_format","tests","2026-09-12","passed","2026-09-12","","test_login","",""
"","849","test_registration_negative_fields[password--Password is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","1615","test_api_car_booking_flow","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","828","test_api_add_car_success","tests","2026-09-12","passed","2026-09-12","","test_api_car","",""
"","914","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","995","test_calendar_past_navigation_blocked","tests","2026-09-12","passed","2026-09-12","","test_calendar","",""
"","805","test_registration_negative_fields[email--Email is required]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","413","test_search_dates_readonly_protection","tests","2026-09-12","passed","2026-09-12","","test_search","",""
"","1102","test_calendar_month_navigation","tests","2026-09-12","passed","2026-09-12","","test_calendar","",""
"","2627","test_hybrid_car_search","tests","2026-09-12","passed","2026-09-12","","test_hybrid_search","",""
"","6345","test_calendar_ui_and_close","tests","2026-09-12","passed","2026-09-12","","test_calendar","",""
"","894","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-12","passed","2026-09-12","","test_registration","",""
"","8138","test_add_car_success","tests","2026-09-12","broken","2026-09-12","","test_add_car","",""
"","1914","test_search_form_dynamic","tests","2026-09-12","passed","2026-09-12","","test_search","",""
"","574","test_search_empty_city_validation","tests","2026-09-12","passed","2026-09-12","","test_search","",""
"","1448","test_login_success","tests","2026-09-12","passed","2026-09-12","","test_login","",""
