"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","741","test_search_dates_readonly_protection","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","1429","test_search_form_dynamic","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","738","test_registration_negative_fields[name--Name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","428","test_api_add_car_beersheba_bug","tests","2026-09-10","skipped","2026-09-10","","test_api_car","",""
"","1109","test_registration_success","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1315","test_api_car_booking_flow","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","1670","test_api_car_lifecycle","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","390","test_navigation_to_registration","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","807","test_registration_without_check_box","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1146","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","831","test_search_empty_city_validation","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","925","test_login_unregistered_user","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","690","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","614","test_calendar_past_navigation_blocked","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","516","test_api_add_car_success","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","6300","test_calendar_ui_and_close","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","665","test_calendar_month_navigation","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","147","test_api_add_car_unauthorized","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","659","test_registration_negative_fields[email--Email is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1264","test_clear_my_garage","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","20489","test_add_car_success","tests","2026-09-10","skipped","2026-09-10","","test_add_car","",""
"","1433","test_login_success","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","1132","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","2732","test_hybrid_car_search","tests","2026-09-10","passed","2026-09-10","","test_hybrid_search","",""
"","631","test_registration_negative_fields[password--Password is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","598","test_login_invalid_email_format","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","988","test_login_wrong_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","599","test_login_empty_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
