"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1436","test_api_car_booking_flow","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","588","test_login_invalid_email_format","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","18842","test_add_car_success","tests","2026-09-10","skipped","2026-09-10","","test_add_car","",""
"","117","test_api_add_car_unauthorized","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","553","test_search_empty_city_validation","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","872","test_calendar_month_navigation","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","5897","test_calendar_ui_and_close","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","1158","test_login_success","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","403","test_search_dates_readonly_protection","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","464","test_api_add_car_success","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","927","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","784","test_login_empty_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","1150","test_login_wrong_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","581","test_navigation_to_registration","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","988","test_registration_without_check_box","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1127","test_login_unregistered_user","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","1276","test_registration_success","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1309","test_api_car_lifecycle","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","919","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","925","test_registration_negative_fields[email--Email is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","930","test_registration_negative_fields[password--Password is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","783","test_calendar_past_navigation_blocked","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","945","test_registration_negative_fields[name--Name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","960","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","366","test_api_add_car_beersheba_bug","tests","2026-09-10","skipped","2026-09-10","","test_api_car","",""
"","1060","test_clear_my_garage","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","1412","test_search_form_dynamic","tests","2026-09-10","passed","2026-09-10","","test_search","",""
