"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1419","test_registration_success","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","243","test_api_add_car_unauthorized","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","5789","test_calendar_ui_and_close","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","917","test_registration_negative_fields[password--Password is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","497","test_navigation_to_registration","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","945","test_registration_negative_fields[email--Email is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","902","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","370","test_search_dates_readonly_protection","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"","2118","test_hybrid_car_search","tests","2026-09-13","passed","2026-09-13","","test_hybrid_search","",""
"","621","test_search_empty_city_validation","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"","627","test_login_invalid_email_format","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","1818","test_api_car_lifecycle","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","655","test_api_add_car_success","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","1080","test_login_wrong_password","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","969","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","920","Успешная авторизация (Playwright версия)","tests","2026-09-13","passed","2026-09-13","","test_playwright_login","",""
"","7396","test_add_car_success","tests","2026-09-13","broken","2026-09-13","","test_add_car","",""
"","964","test_registration_negative_fields[name--Name is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","828","test_calendar_month_navigation","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","920","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","1193","test_login_success","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","716","test_calendar_past_navigation_blocked","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","254","test_api_add_car_beersheba_bug","tests","2026-09-13","skipped","2026-09-13","","test_api_car","",""
"","697","test_api_car_booking_flow","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","1211","test_login_unregistered_user","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","1078","test_registration_without_check_box","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","734","test_login_empty_password","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","2941","test_search_form_dynamic","tests","2026-09-13","passed","2026-09-13","","test_search","",""
