"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1196","test_registration_negative_fields[email--Email is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","865","test_calendar_month_navigation","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","731","test_registration_negative_fields[password--Password is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","862","test_registration_negative_fields[name--Name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1065","test_login_unregistered_user","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","2716","test_hybrid_car_search","tests","2026-09-10","passed","2026-09-10","","test_hybrid_search","",""
"","944","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1156","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","538","test_search_dates_readonly_protection","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","1217","test_registration_without_check_box","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","623","test_login_empty_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","678","test_api_add_car_beersheba_bug","tests","2026-09-10","skipped","2026-09-10","","test_api_car","",""
"","802","test_calendar_past_navigation_blocked","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","1341","test_registration_success","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1397","test_api_car_booking_flow","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","772","test_api_add_car_success","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","1044","test_login_wrong_password","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","812","test_login_invalid_email_format","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","974","test_clear_my_garage","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","1303","test_search_form_dynamic","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","9211","test_add_car_success","tests","2026-09-10","broken","2026-09-10","","test_add_car","",""
"","806","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","1342","test_api_car_lifecycle","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
"","5748","test_calendar_ui_and_close","tests","2026-09-10","passed","2026-09-10","","test_calendar","",""
"","1140","test_login_success","tests","2026-09-10","passed","2026-09-10","","test_login","",""
"","390","test_navigation_to_registration","tests","2026-09-10","passed","2026-09-10","","test_registration","",""
"","474","test_search_empty_city_validation","tests","2026-09-10","passed","2026-09-10","","test_search","",""
"","331","test_api_add_car_unauthorized","tests","2026-09-10","passed","2026-09-10","","test_api_car","",""
