"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1017","test_login_wrong_password","tests","2026-09-09","passed","2026-09-09","","test_login","",""
"","893","test_search_form_dynamic","tests","2026-09-09","passed","2026-09-09","","test_search","",""
"","896","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","935","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","706","test_login_empty_password","tests","2026-09-09","passed","2026-09-09","","test_login","",""
"","871","test_registration_negative_fields[password--Password is required]","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","875","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","1121","test_registration_success","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","734","test_calendar_month_navigation","tests","2026-09-09","passed","2026-09-09","","test_calendar","",""
"","6781","test_calendar_ui_and_close","tests","2026-09-09","passed","2026-09-09","","test_calendar","",""
"","860","test_registration_negative_fields[name--Name is required]","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","946","test_registration_without_check_box","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","452","test_navigation_to_registration","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
"","665","test_calendar_past_navigation_blocked","tests","2026-09-09","passed","2026-09-09","","test_calendar","",""
"","1428","test_login_success","tests","2026-09-09","passed","2026-09-09","","test_login","",""
"","974","test_login_unregistered_user","tests","2026-09-09","passed","2026-09-09","","test_login","",""
"","620","test_login_invalid_email_format","tests","2026-09-09","passed","2026-09-09","","test_login","",""
"","876","test_registration_negative_fields[email--Email is required]","tests","2026-09-09","passed","2026-09-09","","test_registration","",""
