"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1367","test_hybrid_car_search","tests","2026-09-13","passed","2026-09-13","","test_hybrid_search","",""
"","5964","test_search_form_dynamic","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"","666","test_login_empty_password","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","18064","test_add_car_success","tests","2026-09-13","skipped","2026-09-13","","test_add_car","",""
"","744","test_calendar_past_navigation_blocked","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","875","test_registration_negative_fields[email-tonygmail.com-Wrong email format]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","882","test_registration_negative_fields[last_name--Last name is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","916","test_login_unregistered_user","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","174","test_api_add_car_success","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","939","test_api_car_lifecycle","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","401","test_api_car_booking_flow","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","685","test_calendar_month_navigation","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","937","test_login_invalid_email_format","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","826","test_registration_negative_fields[password--Password is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","299","test_search_dates_readonly_protection","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"","945","test_login_wrong_password","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","977","test_login_success","tests","2026-09-13","passed","2026-09-13","","test_login","",""
"","5526","test_calendar_ui_and_close","tests","2026-09-13","passed","2026-09-13","","test_calendar","",""
"","867","test_registration_negative_fields[password-P123$-Password must contain minimum 6 symbols]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","888","test_registration_negative_fields[name--Name is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","901","test_registration_without_check_box","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","834","test_registration_negative_fields[email--Email is required]","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","130","test_api_add_car_beersheba_bug","tests","2026-09-13","skipped","2026-09-13","","test_api_car","",""
"","518","test_search_empty_city_validation","tests","2026-09-13","passed","2026-09-13","","test_search","",""
"","1146","test_registration_success","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","425","test_navigation_to_registration","tests","2026-09-13","passed","2026-09-13","","test_registration","",""
"","102","test_api_add_car_unauthorized","tests","2026-09-13","passed","2026-09-13","","test_api_car","",""
"","585","Успешная авторизация (Playwright версия)","tests","2026-09-13","passed","2026-09-13","","test_playwright_login","",""
