"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","UI Testing","0","Registration Page","0","0","Negative Registration - Checkbox","0"
"2","UI Testing","0","Login Page","0","0","Negative Login - Backend Validation","0"
"6","UI Testing","0","Registration Page","0","0","Negative Registration","0"
"1","UI Testing","0","Login Page","0","0","Positive Login","0"
"1","UI Testing","0","Search Page","0","0","Search Cars Basic Flow","0"
"1","UI Testing","0","Registration Page","0","0","Navigation","0"
"2","UI Testing","0","Login Page","0","0","Negative Login - Frontend Validation","0"
"1","UI Testing","0","Registration Page","0","0","Positive Registration","0"
